2023/06/30 22:55:33
num,example1,example2,example3
1,0.112788,0.107397,0.108075
2,0.108341,0.110408,0.110914
3,0.109984,0.107707,0.107953
4,0.108853,0.109263,0.109674
5,0.10823,0.105741,0.109892
6,0.109759,0.108078,0.109728
7,0.110946,0.108958,0.10875
8,0.110014,0.108421,0.10928
9,0.109294,0.109081,0.111167
10,0.109442,0.109823,0.111054

response
1,None,None,None
2,None,None,0.7075579676679588
3,None,None,None
4,None,None,0.13033472079828368
5,None,None,None
6,None,None,None
7,None,None,0.7426006706801747
8,None,None,0.5051775487846931
9,None,None,0.9814419007917597
10,None,None,0.2785067497862016
