2023/06/30 22:55:47
num	example1	example2	example3
1	0.114223	0.108853	0.110207
2	0.108768	0.108678	0.108488
3	0.111326	0.110759	0.110941
4	0.109157	0.108272	0.109624
5	0.110759	0.109202	0.110161
6	0.109356	0.109202	0.109082
7	0.10933	0.106873	0.107781
8	0.110845	0.108634	0.11045
9	0.110096	0.108202	0.110124
10	0.110746	0.111728	0.111616

response
1	None	None	0.5868958288738666
2	None	None	None
3	None	None	0.1575552899515711
4	None	None	0.7814984555933062
5	None	None	0.47712018150750846
6	None	None	None
7	None	None	0.25351589429965493
8	None	None	None
9	None	None	0.07252558131944842
10	None	None	0.2066400455351468
