2023/07/04 17:06:18			íPà ÅFïb
num	example1	example2	example3
1	0.10925	0.10144	0.101779
2	0.100788	0.100797	0.100876
3	0.10076	0.100902	0.101272
4	0.100845	0.100776	0.101272
5	0.100752	0.100878	0.100899
6	0.100869	0.100768	0.101273
7	0.101293	0.100775	0.100905
8	0.100752	0.100897	0.100778
9	0.101355	0.100776	0.100908
10	0.100799	0.100903	0.100771

response
1	None	None	None
2	None	None	None
3	None	None	None
4	None	None	None
5	None	None	None
6	None	None	0.8697340324780448
7	None	None	0.34310474731504115
8	None	None	None
9	None	None	None
10	None	None	None
